country	countrycode	e0_M	e0_F	year	pwt_year	Na_M	Na_F	etohboth	etohM	etohF	pc_gdp	pop	rgdpe	country_name_p	emp	avh	hc	ccon	cda	cgdpe	cgdpo	ck	ctfp	cwtfp	rgdpna	rconna	rdana	rkna	rtfpna	rwtfpna	labsh	delta	popF	popM	sqrt_pc_gdp	log_pc_gdp
AUS	AUS	45.84	51.299999	1990	1990	3.55	3.22	11.01			24194.0248195018	17.096153	413624.75	Australia	7.9240603	1806.08	3.2708957	305793.56	410256.88	413117.81	418094.63	1367507.3	.84410477	.81674427	438913.16	309575.69	405209.47	1491355.3	.84539843	.77778983	.61351722	.041687358	6665176.938655555	6527390.163104057	155.54428	10.093861
AUS	AUS	50.919998	54.900002	2010	2010	3.5899999	3.26		17.299999	7.1999998	37955.06950571717	22.268384	845198.06	Australia	11.580665	1693.08	3.388505	575059.69	818704.69	832413.63	801741.38	2794276.5	.83962429	.8243717	841764	596871.75	879522.06	3041798.3	.94929361	.98845476	.57217467	.036137737	8943715.367967248	8740786.720237732	194.8206	10.544158
AUT	AUT	43.98	49.959999	1990	1990	4.1999998	3.5999999	13.9			22627.95200268874	7.670513	173568	Austria	3.48966	1913.75	2.5629323	122939.48	174317.11	173720.22	165315.47	602770.31	.88839006	.9237166	195236.97	147195.61	200866.61	628095.31	.9139418	.98229218	.66290152	.041682124	3337811.140625	2967271.69921875	150.4259	10.026941
AUT	AUT	48.720001	53.759998	2010	2010	4.1599998	3.76		15.4	6.3000002	36903.01628827718	8.393644	309750.78	Austria	4.1581144	1653.23	2.8395751	218816.98	293104.81	306149.84	294715.19	1247135.6	.87907112	.84060031	296165	209029.78	278047.47	1002648.3	.98407906	.96514302	.60692126	.041648526	3677939.018884659	3428361.989059448	192.10158	10.516048
BEL	BEL	44.529999	50.48	1990	1990	3.76	3.21	12.18			23175.6643544454	9.949019	230575.13	Belgium	3.8371742	1651.81	2.8456595	160697.47	223604.19	228191.16	208554.78	682022.44	.9394604	.99322289	246203.94	178412.08	246630.16	692085.06	.96711797	1.0067917	.62545222	.040766131	4206772.244070053	3937214.523434639	152.23555	10.050858
BEL	BEL	48.419998	53.25	2010	2010	3.6400001	3.27		15	6.3000002	35519.01775997272	10.712066	380482.06	Belgium	4.6071115	1545.6	3.059741	264892.75	366945.88	375456.03	349276.59	1546120.9	.86174285	.87047315	352620.56	249776.64	341620.5	1206419.5	.9589408	.96546626	.61961037	.043954585	4631863.758520126	4375698.831771851	188.4649	10.477823
BGR	BGR	40.720001	46.619999	1990	1990	3.8199999	3.45	11.46			7641.060082221	8.818914999999999	67385.859	Bulgaria	4.3548541	1657.35	2.7010288	57414.465	66431.195	63633.91	64202.32	166955.95	.50266784	.51287431	68032.016	64844.629	74330.313	88417.508	1.1519684	1.1717604	.49780747	.05133472	3610584.809939384	3444506.951501369	87.413155	8.9412918
BGR	BGR	42.080002	48.509998	2010	2010	3.8	3.45		17.9	5.3000002	12601.55362245761	7.494332	94440.227	Bulgaria	3.7223284	1653.2	2.9000208	75787.883	95094.406	93326.445	92609.836	277340.25	.56265116	.55549765	85569.281	71185.258	85722.602	222069.56	.9451859	.8815366	.47363403	.045530897	3332846.295697927	3109160.224715233	112.25665	9.4415751
BLR	BLR	39	47.369999	1990	1990	4.1900001	3.8299999	7.8499999			11805.64566337222	10.2597	121122.38	Belarus	5.1804395			89916.5	114401.16	117105.69	116301.89	350116.25			70554.016	50939.156	68387.266	184738.75			.49625936		4259548.420120239	3578010.578846753	108.65379	9.3763332
BLR	BLR	36.279999	47.380001	2010	2010	4.5500002	4.1700001		27.5	9.1000004	13700.25218278593	9.595421	131459.69	Belarus	4.6100731			109118.84	146280.88	130030.22	139820.33	345738			127339.73	105431.28	150801.38	341294.5			.62289035	.038074326	4399885.783960581	3696257.279255867	117.04807	9.5251694
