country_name_p,total_consump_1980,annual_pc_smoking_1980,daily_per_smoker_1980,total_consump_1996,annual_pc_smoking_1996,daily_per_smoker_1996,total_consump_2006,annual_pc_smoking_2006,daily_per_smoker_2006,annual_pc_smoking_1990,annual_pc_smoking_2010
Australia,29980.8,2727,24.5,26506.3,1842,21.5,22470.7,1348,20.2,2727,1595
Austria,17601.1,2931,30.8,15122,2310,22.5,14618.7,2095,19.2,2931,2202.5
Belgium,22277.5,2841,24,17046.9,2044,18.3,13448.9,1537,16.7,2841,1790.5
Bulgaria,14602,2116,19.9,17923.1,2618,24.6,21512.3,3260,23.4,2116,2939
Belarus,10701.9,1440,14.5,14463.8,1810,16.5,18976.6,2329,25.3,1440,2069.5
Canada,76428.6,4037,29.2,46757.1,1980,21.3,39340.9,1461,25.2,4037,1720.5
Switzerland,14795.3,2917,28.9,14591.3,2507,22.5,12250.2,1948,25.9,2917,2227.5
Chile,8555.2,1142,8.8,12154.4,1175,8.6,13675.5,1094,10.6,1142,1134.5
Czech Republic,15743.2,2003,21.8,18489.1,2195,23.5,19761.4,2242,24.3,2003,2218.5
Germany,146084.5,2289,20.3,135345.9,1971,21,108785.9,1537,17.9,2289,1754
Denmark,7353.5,1813,13.2,7524.2,1736,13.6,7804.4,1765,19.6,1813,1750.5
Spain,74688.1,2690,21.5,86226.3,2601,22.3,81061.3,2150,22,2690,2375.5
Estonia,1438.6,1243,12.9,2241,1984,18.5,2812,2460,23.7,1243,2222
Finland,6199.2,1628,18.1,5246.5,1263,16,4704.3,1078,15.5,1628,1170.5
France,91205,2181,21,86532.6,1849,16.3,75125.9,1494,15.2,2181,1671.5
United Kingdom,103053.5,2316,17.2,78458.4,1673,16.2,56691.9,1137,13.6,2316,1405
Hungary,26631.4,3189,26.1,24634.1,2910,27.3,15889.2,1863,16.5,3189,2386.5
Ireland,5472,2299,18.5,6522,2345,21.4,7313.6,2157,25.4,2299,2251
Iceland,592.2,3581,26.5,495,2426,23.7,382.8,1606,22.1,3581,2016
Israel,6388.2,2547,21.2,7677.1,1963,19.8,7653,1566,20.9,2547,1764.5
Italy,104832.1,2397,20.7,92267.7,1899,20.6,89515.7,1767,21.8,2397,1833
Japan,276288.6,3114,23.2,291107.6,2773,24.5,246165.2,2265,24.7,3114,2519
Lithuania,2759.2,1049,13.8,4510.5,1596,18.9,4127.1,1451,15.7,1049,1523.5
Luxembourg,935.6,3167,26.6,650.5,1934,18.3,572.3,1501,15.5,3167,1717.5
Latvia,3680.9,1842,17.9,4861,2478,22.7,4149.6,2112,19.4,1842,2295
Netherlands,13226.7,1204,11.2,16208.7,1279,13.1,16282.4,1217,14.5,1204,1248
Norway,1926.2,606,4.8,2572.4,730,6.5,2757.4,734,9.6,606,732
New Zealand,5271.4,2301,19.5,5218.7,1819,19.9,4400.7,1336,18.8,2301,1577.5
Poland,86226.6,3200,20.7,94495.2,3163,26.3,69437.7,2167,19.6,3200,2665
Portugal,13267.1,1828,23.5,14842.6,1767,24.4,12341.6,1380,17.3,1828,1573.5
Russia,303477.6,2797,21.9,277751.5,2386,20,322856.5,2659,24.2,2797,2522.5
Slovak Republic,8483.1,2308,25.9,9602.6,2301,25.8,10671.3,2366,28.1,2308,2333.5
Slovenia,5408.5,3845,34.8,4575.9,2795,31.1,3640.9,2108,27.3,3845,2451.5
Sweden,10861.5,1625,16.1,8464.7,1179,15,8357.8,1111,23.2,1625,1145
Taiwan,28661.1,2384,30.3,39095.6,2394,28,41223.2,2215,31.8,2384,2304.5
Ukraine,82928.1,2111,18.3,77695.8,1918,17.6,79202.4,1985,17.9,2111,1951.5
United States,607813.1,3458,31.9,475782.7,2260,29.5,345489.2,1454,22.7,3458,1857
